16	PERSON	Steve Witkoff
15	GPE	Alberta
15	GPE	Austria
15	GPE	El Paso
15	GPE	Hong Kong
15	GPE	Indonesia
15	GPE	Kolkata
15	GPE	Michigan
15	GPE	Ohio
15	PERSON	Andrew
15	PERSON	Isaac Herzog
15	PERSON	John Healey
15	PERSON	Johnson
15	PERSON	Lutnick
15	PERSON	Mark Rutte
15	PERSON	Vladimir Zelensky
15	PERSON	Xi Jinping
14	GPE	Abu Dhabi
14	GPE	Antwerp
14	GPE	D-N.Y.
14	GPE	NEW YORK
14	GPE	Pennsylvania
14	GPE	Poland
14	GPE	R-Ky.
14	GPE	Sri Lanka
14	GPE	States
14	GPE	Thailand
14	PERSON	Andrew Mountbatten-Windsor
14	PERSON	Chuck Schumer
14	PERSON	Darryl Krakowka
14	PERSON	Kash Patel
14	PERSON	Mark Kelly
14	PERSON	Patel
14	PERSON	Rachel Reeves
14	PERSON	Sean Duffy
13	EVENT	Winter Games
13	GPE	Chandigarh
13	GPE	Chennai
13	GPE	Colorado
13	GPE	Illinois
13	GPE	Manhattan
13	GPE	Nepal
13	GPE	New Zealand
13	GPE	Rio Rico
13	GPE	Sudan
13	LOC	Kashmir
13	LOC	Middle East
13	PERSON	John Thune
13	PERSON	Kemi Badenoch
13	PERSON	Khaleda Zia
13	PERSON	Lavrov
13	PERSON	Maduro
13	PERSON	Massie
13	PERSON	Puri
13	PERSON	Rajya Sabha
13	PERSON	Surya Kant
13	PERSON	Tricia McLaughlin
12	EVENT	the T20 World Cup
12	GPE	Damascus
12	GPE	Hungary
12	GPE	Kazakhstan
12	GPE	Kharkiv
12	GPE	Kingdom
12	GPE	Madagascar
12	GPE	Miami
12	GPE	Montreal
12	GPE	R-Texas
12	GPE	Seattle
12	GPE	Slovakia
12	GPE	Sydney
12	GPE	TUCSON
12	GPE	Thiruvananthapuram
12	GPE	the United States of America
12	LOC	Capitol Hill
12	PERSON	Claudia Sheinbaum
12	PERSON	David Eby
12	PERSON	Heraskevych
12	PERSON	Himanta Biswa Sarma
12	PERSON	Homan
12	PERSON	JD Vance
12	PERSON	McDonald
12	PERSON	Newsom
12	PERSON	Vikram Misri
11	EVENT	Operation Metro Surge
11	EVENT	Super Bowl
11	EVENT	the Olympic Games
11	EVENT	the Super Bowl
11	EVENT	the World Cup
11	GPE	Ariz
11	GPE	Bengal
11	GPE	Canberra
11	GPE	Kentucky
11	GPE	Lebanon
11	GPE	Melbourne
11	GPE	NEW DELHI
11	GPE	Toamasina
11	GPE	the Islamic Republic of Iran
11	LOC	Greenland
11	LOC	Latin America
11	LOC	Pacific
11	PERSON	Ali Larijani
11	PERSON	Bill
11	PERSON	Donald Trump's
11	PERSON	Elissa Slotkin
11	PERSON	Farage
11	PERSON	Hardeep Puri
11	PERSON	Kumar
11	PERSON	Merz
11	PERSON	Nicolas Maduro
11	PERSON	Scott Bessent
11	PERSON	Sharma
11	PERSON	Suryakumar Yadav
11	PERSON	Tim Walz
11	PERSON	Volodymyr Zelenskyy
11	PERSON	Wright
11	PERSON	Zeldin
10	EVENT	Cold War
10	EVENT	World War II
10	EVENT	the Cold War
10	GPE	BRUSSELS
10	GPE	Caracas
10	GPE	Chhattisgarh
10	GPE	Colombo
10	GPE	Cortina
10	GPE	Goa
10	GPE	Himachal Pradesh
10	GPE	Ireland
10	GPE	Jerusalem
10	GPE	Jordan
10	GPE	LA
10	GPE	Maine
10	GPE	New Jersey
10	GPE	North Korea
10	GPE	Puerto Rico
10	GPE	R-Calif.
10	GPE	Somalia
10	GPE	Tennessee
10	GPE	Uttarakhand
10	GPE	Yemen
10	GPE	the Gaza Strip
10	LOC	Gulf
10	LOC	Silicon Valley
10	LOC	the Indian Ocean
10	PERSON	Ayatollah Ali Khamenei
10	PERSON	Charles
10	PERSON	Chris Nanos
10	PERSON	Chris Wright
10	PERSON	Delcy Rodriguez
10	PERSON	Doyle
10	PERSON	Ghislaine Maxwell
10	PERSON	Healey
10	PERSON	Jayapal
10	PERSON	Khan
10	PERSON	Kim
10	PERSON	Masoud Pezeshkian
10	PERSON	Mykhailo Fedorov
10	PERSON	Nicolás Maduro
10	PERSON	Pretti
10	PERSON	Ranveer Singh
10	PERSON	Salman Khan
10	PERSON	Sanju Samson
10	PERSON	Sarma
10	PERSON	Shah
10	PERSON	Smith
10	PERSON	Vance
10	PERSON	Yunus
9	EVENT	Islamic Revolution
9	GPE	Alaska
9	GPE	B.C.
9	GPE	D-Calif.
9	GPE	Donetsk
9	GPE	Great Britain
9	GPE	Kenya
9	GPE	LONDON
9	GPE	Manchester
9	GPE	Northern Ireland
9	GPE	Palm Beach
9	GPE	Portugal
9	GPE	South Carolina
9	GPE	St. Paul
9	GPE	Takaichi
9	GPE	Utah
9	GPE	the State of Israel
9	GPE	the United Arab Emirates
9	LOC	North America
9	LOC	Rockies
9	PERSON	Abhishek Sharma
9	PERSON	Adam Mosseri
9	PERSON	Araghchi
9	PERSON	Brown
9	PERSON	Chrissy Houlahan
9	PERSON	Ed Davey
9	PERSON	Hardeep Singh Puri
9	PERSON	Herzog
9	PERSON	James
9	PERSON	Jason Crow
9	PERSON	Jennifer Strang
9	PERSON	Larry Neufeld
9	PERSON	Mark Zuckerberg
9	PERSON	Noem
9	PERSON	Pramila Jayapal
9	PERSON	Ro Khanna
9	PERSON	Tushar Mehta
9	PERSON	Vande Mataram
8	EVENT	the European Industry Summit
8	EVENT	the Milan Cortina Olympics
8	GPE	Cambodia
8	GPE	Colombia
8	GPE	Doha
8	GPE	El Salvador
8	GPE	Fla.
8	GPE	Geneva
8	GPE	Ghana
8	GPE	Halifax
8	GPE	Indiana
8	GPE	Kochi
8	GPE	Kuwait
8	GPE	LOS ANGELES
8	GPE	Ladakh
8	GPE	Latvia
8	GPE	Liverpool
8	GPE	Lok Sabha
8	GPE	Louisiana
8	GPE	Lucknow
8	GPE	Malaysia
8	GPE	Maryland
8	GPE	Nagpur
8	GPE	New Orleans
8	GPE	Ontario
8	GPE	Oregon
8	GPE	PARIS
8	GPE	Philippines
8	GPE	Portland
8	GPE	Pyongyang
8	GPE	Quebec
8	GPE	R-Neb.
8	GPE	RIYADH
8	GPE	Riyadh
8	GPE	Sacramento
8	GPE	South Korea's
8	GPE	Volgograd
8	GPE	Washington, DC
8	GPE	Windsor
8	LOC	Americas
8	LOC	Earth
8	LOC	East
8	LOC	High North
8	LOC	the Western Hemisphere
8	PERSON	Albanese
8	PERSON	Anas Sarwar
8	PERSON	Anil Ambani
8	PERSON	Chip Roy
8	PERSON	Devendra Fadnavis
8	PERSON	Don Bacon
8	PERSON	Dubey
8	PERSON	Gregory Meeks
8	PERSON	Hegseth
8	PERSON	Henry Cuellar
8	PERSON	Ishan Kishan
8	PERSON	Jacob Frey
8	PERSON	James Van Der Beek
8	PERSON	Jamie Raskin
8	PERSON	Jared Kushner
8	PERSON	Joymalya Bagchi
8	PERSON	Kirsty Coventry
8	PERSON	Maggie Goodlander
8	PERSON	Mark Adams
8	PERSON	McLaughlin
8	PERSON	Mehta
8	PERSON	Michael Randrianirina
8	PERSON	Morgan McSweeney
8	PERSON	Nirmala Sitharaman
8	PERSON	Om Birla
8	PERSON	PM Modi
8	PERSON	Patrick
8	PERSON	Peskov
8	PERSON	Ratcliffe
8	PERSON	Shafiqur Rahman
8	PERSON	Slotkin
8	PERSON	Thune
8	PERSON	Tom Williams
8	PERSON	Ursula von der Leyen
8	PERSON	Valentine
8	PERSON	Van Der Beek
8	PERSON	Walz
8	PERSON	Wes Streeting
8	PERSON	Zohran Mamdani
7	EVENT	T20
7	EVENT	the Winter Games
7	EVENT	this World Cup
7	GPE	Ariz.
7	GPE	Birmingham
7	GPE	Bohodukhiv
7	GPE	Bondi
7	GPE	Connecticut
7	GPE	Cortina d'Ampezzo
7	GPE	DC
7	GPE	Detroit
7	GPE	Dnipropetrovsk
7	GPE	Greece
7	GPE	Havana
7	GPE	Hong Kong's
7	GPE	IRAN
7	GPE	Jharkhand
7	GPE	Kanpur
7	GPE	Khammam
7	GPE	Leeds
7	GPE	MILAN
7	GPE	Manchester City
7	GPE	Manipur
7	GPE	Mohali
7	GPE	Monaco
7	GPE	Morocco
7	GPE	New Hampshire
7	GPE	Pyeongchang
7	GPE	San Diego
7	GPE	Senegal
7	GPE	Shanghai
7	GPE	South India
7	GPE	TEL AVIV
7	GPE	Toronto
7	GPE	Vijayawada
7	GPE	Washington, D.C.
7	GPE	West Ham
7	LOC	Mediterranean
7	LOC	North District
7	LOC	South America
7	LOC	the Central Vista
7	LOC	the High North
7	LOC	the Lok Sabha
7	PERSON	A. Revanth Reddy
7	PERSON	Adams
7	PERSON	Amit Shah
7	PERSON	Andy Burnham
7	PERSON	Angela Rayner
7	PERSON	Annie
7	PERSON	Bad Bunny
7	PERSON	Bill Clinton
7	PERSON	Chris Deluzio
7	PERSON	Darian Quist
7	PERSON	Dawson
7	PERSON	Floyd
7	PERSON	Fox News'
7	PERSON	Gaurav Gogoi
7	PERSON	Hakeem Jeffries
7	PERSON	Jane Hume
7	PERSON	Jason Pack
7	PERSON	Jerome Powell
7	PERSON	Jim Jordan
7	PERSON	Kennedy
7	PERSON	Khanna
7	PERSON	Kim Ju Ae
7	PERSON	Lai
7	PERSON	Larijani
7	PERSON	Law
7	PERSON	Maria Lvova-Belova
7	PERSON	Maya
7	PERSON	Melania Trump
7	PERSON	Merrick Garland
7	PERSON	Morton
7	PERSON	Nishikant Dubey
7	PERSON	Patrick Christys
7	PERSON	Pavel Durov
7	PERSON	Piyush Goyal
7	PERSON	Reeves
7	PERSON	Rekha Gupta
7	PERSON	Robert F. Kennedy Jr.
7	PERSON	Rodriguez
7	PERSON	Rutte
7	PERSON	Sean Morton
7	PERSON	Shabana Mahmood
7	PERSON	Thompson
7	PERSON	Todd Lyons
7	PERSON	Virginia Giuffre
7	PERSON	Zelenskyy
6	EVENT	Olympic Games
6	EVENT	the Budget Session
6	EVENT	the Milan Cortina Winter Olympics
6	GPE	Alabama
6	GPE	Armenia
6	GPE	BUENOS AIRES
6	GPE	Bahrain
6	GPE	Beirut
6	GPE	Bollywood
6	GPE	CALIFORNIA
6	GPE	Cleveland
6	GPE	D-Md.
6	GPE	Dnipro
6	GPE	Ethiopia
6	GPE	Glasgow
6	GPE	Greater Manchester
6	GPE	Guwahati
6	GPE	Iceland
6	GPE	Islamabad
6	GPE	Istanbul
6	GPE	Jaipur
6	GPE	Karimnagar
6	GPE	Kashmir
6	GPE	Las Vegas
6	GPE	Lithuania
6	GPE	Mogadishu
6	GPE	Nevada
6	GPE	Norfolk
6	GPE	North Africa
6	GPE	Odesa
6	GPE	Phoenix
6	GPE	R-Fla.
6	GPE	Romania
6	GPE	San Jose
6	GPE	Shimla
6	GPE	Sumy
6	GPE	Taipei
6	GPE	Washington DC
6	GPE	West Indies
6	GPE	Westminster
6	GPE	Wisconsin
6	GPE	Zaporizhzhia
6	GPE	al-Tanf
6	GPE	the West Bank
6	LOC	Indo-Pacific
6	LOC	Sun
6	LOC	the Persian Gulf
6	PERSON	Ajit Pawar
6	PERSON	Andrei Bocharov
6	PERSON	Andrew Ferguson
6	PERSON	Annie Guthrie
6	PERSON	Anthony Albanese
6	PERSON	Arvind Kejriwal
6	PERSON	Bacon
6	PERSON	Badenoch
6	PERSON	Charlie Kirk
6	PERSON	Chloe Kim
6	PERSON	Chris Wormald
6	PERSON	Cyril Ramaphosa
6	PERSON	DW
6	PERSON	Dawson Leery
6	PERSON	EPSTEIN
6	PERSON	Eby
6	PERSON	Evan Bates
6	PERSON	Ferguson
6	PERSON	Fox
6	PERSON	Harris
6	PERSON	Hunter Hess
6	PERSON	James Paterson
6	PERSON	Jared Golden
6	PERSON	Jasprit Bumrah
6	PERSON	Jean-Noel Barrot
6	PERSON	Jerry Nadler
6	PERSON	Jesse
6	PERSON	Jitendra Singh
6	PERSON	Jones
6	PERSON	Karol Nawrocki
6	PERSON	Keith Ellison
6	PERSON	Khamenei
6	PERSON	Kim Jong Un
6	PERSON	Kimberly
6	PERSON	King
6	PERSON	Kishan
6	PERSON	Lawrence Bishnoi
6	PERSON	Leavitt
6	PERSON	Lisa Nandy
6	PERSON	Madison Chock
6	PERSON	Mahatma Gandhi
6	PERSON	Mamdani
6	PERSON	Mark Lanier
6	PERSON	Martin
6	PERSON	Matthew Doyle
6	PERSON	Meeks
6	PERSON	Mike Lee
6	PERSON	Mohan
6	PERSON	Muhammad Yunus
6	PERSON	NANCY GUTHRIE
6	PERSON	Nadler
6	PERSON	Naravane
6	PERSON	Nigel Farage's
6	PERSON	Nikki Haley
6	PERSON	Pezeshkian
6	PERSON	Pinarayi Vijayan
6	PERSON	Rahul
6	PERSON	Rajnath Singh
6	PERSON	Rajpal Yadav
6	PERSON	Ramaphosa
6	PERSON	Rao
6	PERSON	Raskin
6	PERSON	Roy
6	PERSON	Sam Altman
6	PERSON	Tetsuo Saito
6	PERSON	Tim Cook
6	PERSON	Yadav
6	PERSON	Yoshihiko Noda
6	PERSON	Ziaur Rahman
6	PERSON	the Lok Sabha
5	EVENT	Holocaust
5	EVENT	Winter Olympic
5	EVENT	World Championship
5	EVENT	the Milan Cortina Games
5	GPE	Aberdeen
5	GPE	Addis Ababa
5	GPE	Algeria
5	GPE	Ankara
5	GPE	BERLIN
5	GPE	Barcelona
5	GPE	Bhopal
5	GPE	Brentford
5	GPE	Budapest
5	GPE	CAIRO
5	GPE	CARACAS
5	GPE	Cairo
5	GPE	Calif.
5	GPE	Cape Town
5	GPE	Chandrapur
5	GPE	D-Ariz.
5	GPE	D-Mich.
5	GPE	Dallas
5	GPE	Kherson
5	GPE	Kotla
5	GPE	Luhansk
5	GPE	Lyman
5	GPE	MINNESOTA
5	GPE	Montana
5	GPE	Muscat
5	GPE	Myanmar
5	GPE	Noida
5	GPE	Orange County
5	GPE	Ottawa
5	GPE	Panchkula
5	GPE	Philadelphia
5	GPE	Pittsburgh
5	GPE	Pokrovsk
5	GPE	R-Ohio
5	GPE	Santa Clara
5	GPE	Santa Teresa
